Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L15209,P120296,58,2022-04-27 00:00:00,50,2022-07-08 00:00:00,50,11076,,1Z9V89920395168135,2022-08-12 00:00:00
L15881,P124894,102,2023-03-28 00:00:00,37,2023-06-12 00:00:00,37,,Traveller 100 pcs.  ST Issued 7/17,1Z9V89920390907783,2023-09-06 00:00:00
L15881-1,P124894,62,2023-03-28 00:00:00,38,2023-10-10 00:00:00,38,,,1Z9V89920399787021,2023-09-29 00:00:00
L14712,26187,200,2021-07-26 00:00:00,100,2021-08-12 00:00:00,100,,,,2021-08-12 00:00:00
L15635,27429,100,2022-11-22 00:00:00,100,2022-11-29 00:00:00,100,,from L14712,1Z9V89920391970891,2022-11-28 00:00:00
L16225,28405,,2023-10-26 00:00:00,75,2023-12-25 00:00:00,75,,mat PO 17808,1Z9V89920391034116,2023-12-12 00:00:00
L16897,29881,14,2024-12-17 00:00:00,100,2025-01-06 00:00:00,14,,from L16225,1Z9V89920391035848,2024-12-31 00:00:00
L16898,29881,40,2024-12-17 00:00:00,0,2025-01-06 00:00:00,40,,from L14712,1Z9V89920391035848,2024-12-31 00:00:00
L16899,29881,8,2024-12-17 00:00:00,0,2025-01-06 00:00:00,8,,from L12729,1Z9V89920391035848,2024-12-31 00:00:00
L16907,29881,,2024-12-17 00:00:00,0,2025-01-06 00:00:00,38,,Use mat PO 18328,1Z9V89920395779538,2025-02-07 00:00:00
L14169,P113366,35,2020-10-12 00:00:00,25,0218/21,24,10735,,,2021-02-18 00:00:00
L14994,P118760,48,2022-01-18 00:00:00,12,2022-05-20 00:00:00,12,,Part got rejected ,776874759980,2022-05-16 00:00:00
L15231,P118760,22,2022-01-18 00:00:00,20,2022-05-20 00:00:00,20,,,777216971664,2022-06-23 00:00:00
L15710,P123907,71,2023-01-24 00:00:00,35,2023-04-14 00:00:00,22,11194,mat PO 17193. Revised Date to 5/25.,772204678128                  772205064783,2023-05-20 00:00:00
L15710-1,P123907,14,2023-01-24 00:00:00,0,2023-05-25 00:00:00,13,,,1Z9V89920391671946,2023-05-23 00:00:00
L15710-R1,P123907,2,2024-03-07 00:00:00,2,2024-03-22 00:00:00,2,,Reworked per IDR 154390,1Z9V89920393369154,2024-03-14 00:00:00
L16373,P128871,100,2024-01-23 00:00:00,40,2024-06-05 00:00:00,13,,Make Traveller 60 pcs. ST Issue 3/11,777721653615,2024-07-31 00:00:00
L16373-1,P128871,47,2024-01-23 00:00:00,0,2024-06-05 00:00:00,26,,,1Z9V89920398986737,2024-08-19 00:00:00
L16455,P128871,1,2024-01-23 00:00:00,0,2024-06-05 00:00:00,1,,from L16455,1Z9V89920391894867,2024-04-02 00:00:00
L17384,10778,,2025-09-05 00:00:00,500,2025-10-15 00:00:00,,,"Use mat PO 14693, 2019
3 ft. x 23 pcs",,
L15885,9970,421,2023-04-04 00:00:00,400,2023-06-15 00:00:00,421,11216,Prime Plating,deliver,2023-07-26 00:00:00
L17385,10778,,2025-09-05 00:00:00,200,2025-10-15 00:00:00,,,Mat PO 15303,,
L14879,P117729,47,2021-10-14 00:00:00,25,2022-03-04 00:00:00,25,11000,,,2022-03-16 00:00:00
L15331,P121110,,2022-06-28 00:00:00,22,2022-09-02 00:00:00,22,,from L14879,,2022-08-18 00:00:00
L13227,P104192,15,2019-04-26 00:00:00,15,2019-07-03 00:00:00,15,10315,,,2019-06-07 00:00:00
L14247,P113768,15,2020-11-18 00:00:00,15,2021-04-09 00:00:00,15,,,,2021-03-30 00:00:00
L15684,P123671,38,2023-01-05 00:00:00,25,2023-03-09 00:00:00,25,11164,"mat PO 14743, 2019, package was intercepted. Shipped again on 3/21",1Z9V89920293990751,2023-03-13 00:00:00
L15925,P125296,70,2023-04-26 00:00:00,50,2023-08-10 00:00:00,50,,"mat PO 14743, 2019. ST Issued 7/11",1Z9V89920399576491,2023-08-14 00:00:00
L14236,P113713,50,2020-11-13 00:00:00,25,2021-02-01 00:00:00,25,,,,2021-01-21 00:00:00
L14878,P117729,145,2021-10-14 00:00:00,100,2022-03-04 00:00:00,100,,,,2022-02-17 00:00:00
L15147,P119691-027682,5,2022-03-15 00:00:00,5,2022-03-17 00:00:00,5,11001,Rev: Prelim,,2022-03-16 00:00:00
L15272,P120781,134,2022-06-01 00:00:00,125,2022-08-15 00:00:00,12,11072,Mat and HT from L15147. Rev:-,1Z9V89920295929038,2022-08-03 00:00:00
L15272-1,P120781,67,2022-06-01 00:00:00,0,2022-08-15 00:00:00,67,,From L15272. Rev:-,1Z9V89921296070097,2022-08-10 00:00:00
L15272-2,P120781,0,2022-06-01 00:00:00,0,N/A,46,,Rev:-. Customer changed Rev,,N/A
L15522,P122376,11,2022-10-03 00:00:00,4,2022-11-01 00:00:00,4,11089,Modify from L13609 (02-2427-30) to 02-2427-31 Rev:A,1Z9V89920399036878,2022-10-17 00:00:00
L15522-R1,P122376,7,2022-12-22 00:00:00,1,2022-12-22 00:00:00,1,11128,Rev:A,1Z9V89920290978208,2022-12-22 00:00:00
L15956,P125590,54,2023-05-18 00:00:00,39,2023-07-26 00:00:00,39,11212,Changed from Rev:A to B. ST Issued 5/59,772621185612,2023-07-01 00:00:00
L16152,P127460,190,2023-09-27 00:00:00,90,2023-11-27 00:00:00,20,11286,"Make Traveller 150 pcs, 100% on KC. Mat PO 14931, 52"" & 15525 76.5"" & 16270 92.25"" .  Revised Date 1/8/24. L16152 made from mat PO 16270",774694193674,2024-01-04 00:00:00
L16152-1,P127460,150,2023-09-27 00:00:00,0,2023-11-27 00:00:00,13,,Mat PO 16270. NDT 62 pcs,1Z9V89920395669620,2024-01-18 00:00:00
L16152-2,P127460,134,2023-09-27 00:00:00,0,2024-01-08 00:00:00,57,,Mat PO 15225. NDT 62 pcs,1Z9V89920390073648,2024-01-31 00:00:00
L16152-3,P127460,72,2023-09-27 00:00:00,60,2024-01-08 00:00:00,41,2/12 bal. 19,Mat PO 14931. NDT 46 pcs.,1Z9V89921292192936,2024-02-07 00:00:00
L16152-4,P127460,26,2023-09-27 00:00:00,0,2024-01-08 00:00:00,19,,"from L16152-1, rework 29 pcs 
(7 pcs in stock)",1Z9V89920394658572,2024-02-15 00:00:00
L16824,P127460,7,2024-10-28 00:00:00,7,2024-11-30 00:00:00,7,,"from L16152-1, rework 29 pcs 
(7 pcs in stock)",1Z9V89920392935490,2024-10-29 00:00:00
L16926,P133528,174,2025-01-03 00:00:00,150,2025-03-10 00:00:00,150,,"Changed Rev:-  to Rev:A. ST Issue 2/24. L16926, rework 9 pcs, 5pcs in stock,  reject 10 pcs.",1Z9V89920392176391,2025-04-07 00:00:00
L15783,P124484,35,2023-02-27 00:00:00,20,2023-04-09 00:00:00,22,11172,3/6 revise 12 pcs to 20 pcs. Customer wants all. Mat 14931,1Z9V89920398427368,2023-04-11 00:00:00
L15783-1,P124484,4,2023-04-01 00:00:00,0,2023-04-30 00:00:00,4,,,1Z9V89920392270930,2023-04-25 00:00:00
L14267,P113950,49,2021-09-15 00:00:00,21,2021-09-15 00:00:00,9,-,"Make traveller 50 pcs. Mat:14743, 2019. Send job to Anaplex. Revise from 8/2 to 9/15 to 10/15",,2021-11-15 00:00:00
L14725,P113950,12,2021-07-29 00:00:00,0,2021-08-02 00:00:00,12,10891,from L13230 (related to L14725) by NDT,,2021-08-12 00:00:00
L15923,P125296,121,2023-04-26 00:00:00,62,2023-11-10 00:00:00,82,11252,Make Traveller 90 pcs. Revise due date 7/5 to 11/10/23,1Z9V89920390396086,2023-10-16 00:00:00
L15926,P125296,40,2023-04-26 00:00:00,63,2023-07-05 00:00:00,40,,"40 pcs from L14267, Anaplex",1Z9V89920391108920,2023-06-19 00:00:00
L15991,P125296,3,2023-04-26 00:00:00,0,2023-07-05 00:00:00,3,,from L14725,1Z9V89920391108920,2023-06-19 00:00:00
L14248,P113768,50,2020-11-18 00:00:00,50,2021-02-08 00:00:00,50,10730,,,2021-02-04 00:00:00
L15273,P120781,85,2022-06-01 00:00:00,35,2022-09-02 00:00:00,63,,Ship all and close short,1Z9V89920392526039,2022-11-21 00:00:00
L15274,P120781,0,2022-06-01 00:00:00,40,2023-01-06 00:00:00,0,,,,2022-11-21 00:00:00
L15480,P122177,110,2022-09-16 00:00:00,50,2022-11-18 00:00:00,100,11170,Revised Date to 4/14,1Z9V89920398913734,2023-04-10 00:00:00
L15481,P122177,0,2022-09-16 00:00:00,50,2023-03-10 00:00:00,0,,Ship with L15480,,2023-04-10 00:00:00
L14243,P113730,56,2020-11-16 00:00:00,50,2021-02-08 00:00:00,50,10729,,,2021-02-04 00:00:00
L15957,P125387,108,2023-05-22 00:00:00,50,2023-08-15 00:00:00,50,11272,Make Traveller 100 pcs. ST Issued 8/9. Use mat PO 17610,1Z9V89921295569088,2023-11-21 00:00:00
L15957-1,P125387,56,2023-05-22 00:00:00,50,2023-12-11 00:00:00,50,,"Used 78"" mat PO 16939 and 17610. Changed lot from L15958 to L15957-1",1Z9V89920393781967,2023-11-28 00:00:00
L16855,P133149,6,2024-11-20 00:00:00,6,2024-11-27 00:00:00,6,,from L15957,1Z9V89920398529356,2024-11-20 00:00:00
L14048,P112267,25,2020-07-02 00:00:00,15,2020-08-13 00:00:00,15,10664,,-,2020-08-13 00:00:00
L14587,P115834,46,2021-07-19 00:00:00,15,2021-06-28 00:00:00,15,,Make shop traveller 50 pcs. General Aircraft PO 16002,-,2021-06-28 00:00:00
L15211,P120294,31,2022-04-27 00:00:00,15,2022-06-21 00:00:00,15,,From L14587,776811646148,2022-05-09 00:00:00
L15556,P122601,,2022-10-20 00:00:00,20,2022-12-05 00:00:00,20,11146,,1Z9V89920393031240,6023-02-02 00:00:00
L13596,1003552,13,2019-11-13 00:00:00,10,2020-01-15 00:00:00,10,,,,2019-12-20 00:00:00
L15853,1008365,3,2023-03-23 00:00:00,3,2023-04-10 00:00:00,3,,Ship 2nd air. From L13596,1Z9V89920290096410,2023-04-06 00:00:00
L15857,1008349,27,2023-03-23 00:00:00,10,2023-06-01 00:00:00,10,,mat PO 16853,1Z9V89920391936919,2023-06-16 00:00:00
L17071,1011225,14,2025-03-11 00:00:00,7,2025-03-28 00:00:00,7,,from L15857,1Z9V89920395140100,2025-03-21 00:00:00
L17315,1011623,28,2025-07-31 00:00:00,8,2025-09-13 00:00:00,8,,"5/5/25 Have mat 2013, 
410SS, size 1"" x 39.875"" L,
 ST Issued 09/08/25",1Z9V89920399882187,2025-10-17 00:00:00
L17516,1012069,6,2025-11-24 00:00:00,6,2025-12-15 00:00:00,6,,"from L17315
100% 1 pcs",1Z9V89920393342575,2025-12-01 00:00:00
L15009,1006626,7,2022-01-28 00:00:00,3,2022-03-23 00:00:00,3,,Revised due date 3/23 to 3/31,776395294928 ,2022-03-24 00:00:00
L15595,1007766,,2022-11-02 00:00:00,2,2022-11-16 00:00:00,2,,from L15009,,2022-11-14 00:00:00
L16353,1009463,11,2024-01-09 00:00:00,6,2024-04-04 00:00:00,6,,"Long form only. Mat PO 18121
ST Issued 05/24
6/18/24 changed 5 to 6 pcs",1Z9V89920395050752,2024-07-11 00:00:00
L16904,1010900,3,2024-12-17 00:00:00,3,2025-01-06 00:00:00,3,,from L16353,771137327268,2024-12-31 00:00:00
L17440,1011895,,2025-10-07 00:00:00,2,2025-12-05 00:00:00,,,,,
L16183,1009049,,2023-10-12 00:00:00,20,2023-10-30 00:00:00,20,11255,10% 100 % insp + long form,1Z9V89921599733075,2023-10-17 00:00:00
L17137,1011322,10,2025-04-25 00:00:00,5,2025-07-09 00:00:00,5,,"No AS or 19. ST Issued 7/15/25
7/30/25 Scrapped and Changed mat to PO 19013",1Z9V89920793288387,2025-07-31 00:00:00
L16046,1008711,14,2023-07-24 00:00:00,9,2023-10-23 00:00:00,9,,"100% 1 PC + LONG FORM, B-13",774762896121,2024-01-10 00:00:00
L16976,1011049,20,2025-01-30 00:00:00,15,2025-05-28 00:00:00,13,,"ST Issued 4/22/25.
Make 20 pcs. only got 15 pcs good.
Then 2 pcs plastic screw stuck and could not take it out. Cake tried to take out the screw caused damage.
Next time need more extra.",1Z9V89920391936599,2025-05-30 00:00:00
L17198,1011049,,2025-05-19 00:00:00,0,2025-05-28 00:00:00,2,,from L16046,1Z9V89920390647804,2025-05-30 00:00:00
L17530,1011996,,,,,,,,,
L14413,1005373,7,2021-04-28 00:00:00,5,2021-04-30 00:00:00,5,10795,1,-,2021-04-30 00:00:00
L15951,1008502,26,2023-05-17 00:00:00,20,2023-08-03 00:00:00,20,,ST Issued 8/24,1Z9V89920394083808,2023-09-08 00:00:00
L16301,1009360,9,2023-12-05 00:00:00,5,2024-02-12 00:00:00,5,11341,"Use mat PO 17603, 18"". 100% all 5 pcs",776630605126,2024-05-30 00:00:00
L16301-R1,1009360,1,2024-06-11 00:00:00,1,2024-06-21 00:00:00,1,,"replaced per reject tag 37054. 
Mat 17603",1Z9V89920398870334,2024-06-11 00:00:00
L16302,1009360,,2023-12-05 00:00:00,20,2024-02-26 00:00:00,15,"Form 3
L16302","4/10 Confirmed 100% all 20 pcs.
Mat 18121 & 18206. ST Issued 6/13",777210155175,2024-07-02 00:00:00
L16302-1,1010322,,2024-07-25 00:00:00,2,2024-11-30 00:00:00,2,,from L16302,779849397198,2024-11-09 00:00:00
L16682,1009360,5,2023-12-05 00:00:00,0,2024-08-15 00:00:00,5,"Form 3
L16682","Make Traveller 30 pcs
Mat 18365. ST Issue 10/07",779027255273,2024-10-04 00:00:00
L16686,1010322,5,2024-07-25 00:00:00,25,2024-10-30 00:00:00,5,"Form 3
L16686","from L16682
Mat 18365",1Z9V89920391262487,2024-10-04 00:00:00
L16793,1010322,23,2024-09-25 00:00:00,0,2024-11-30 00:00:00,18,"Bal. 18
FORM 3
L16793","AS of 10/21/24, mat PO 18365 have 58""-59"" leftover and at J has 21 pcs on floor WIP. 
ST Issue 10/28
NEED DATA 100% USING FORM 3 EVERY PIECES","770318233860
Label Done #1-18. SHIP OVERNIGHT ONLY.",2024-11-28 00:00:00
L16986,1011064,31,2025-02-03 00:00:00,20,2025-05-23 00:00:00,20,,"CHANGED FROM REV:C TO REV:D
100% Data every piece. ST Issued 5/5",1Z9V89920390659855,2025-06-03 00:00:00
L14773,1006119,9,2021-11-03 00:00:00,5,2021-11-09 00:00:00,5,10949,-,-,2021-11-09 00:00:00
L16745,1010514,,2024-08-26 00:00:00,10,2024-12-12 00:00:00,10,,ST Issue 11/4. Long form only,1Z9V89920393108515,2024-12-05 00:00:00
L16182,1009047,21,2023-10-12 00:00:00,8,2023-10-30 00:00:00,8,11259,"10% 100 % insp + long form,                           ST issued 10/17",773821809758,2023-10-21 00:00:00
L16027,1008657,,2023-07-06 00:00:00,5,2023-08-14 00:00:00,5,,FAIR 5 PCS,1Z9V89920395451855,2023-08-28 00:00:00
L16028,1008657,7,2023-07-06 00:00:00,5,2023-08-14 00:00:00,5,11233,"FAIR 5 PCS. 
Thip: Reject 36928 1 pc .896 +/- .001 measures 0.89476. All 5 pcs of 3 x 6-32 UNC-2B Go/No-Go are too small",1Z9V89920395451855,2023-08-28 00:00:00
L16028-R1,1008657,9,2024-02-14 00:00:00,1,2024-03-29 00:00:00,1,11350,Replaced per rej 36928. 100% inspection. ST Issue 4/18,1Z9V89921292149902,2024-07-10 00:00:00
L16715,1010418,21,2024-08-09 00:00:00,5,2024-10-28 00:00:00,5,11411,"B-11 (12Y), B-20, B-24
 100%. Mat PO 18506. St Issued 1/27/25",1Z9V89920396730962,2025-01-20 00:00:00
L16715-1,1010418,13,2024-08-09 00:00:00,10,2024-11-11 00:00:00,10,,"B-11 (12Y), B-20, B-24",1Z9V89920392335503,2025-03-12 00:00:00
L16715-R1,1010418,5,2024-08-09 00:00:00,13,2024-10-28 00:00:00,5,11427,"B-11 (12Y), B-20, B-24
Replaced per rejected tag 37180.",772318498020,2025-02-25 00:00:00
L16717,1010419,22,2024-08-09 00:00:00,5,2024-11-04 00:00:00,5,11428,"B-11 (12Y), B-20, B-24
100%. St Issued 1/28/25",1Z9V89920799031366,2025-02-26 00:00:00
L16718,1010419,18,2024-08-09 00:00:00,10,2024-11-18 00:00:00,10,,"B-11 (12Y), B-20, B-24
New Mat",1Z9V89920391011533,2025-03-21 00:00:00
L16230,1009153,,2023-10-31 00:00:00,31,2024-01-11 00:00:00,31,11303,"100% 3 pcs, B-13, B-20, B-24. Mat PO 17820 & 17853 same heat lot","1Z9V89920396182859 (4Boxes), 1Z9V89920397749692 (1Box)",2024-02-26 00:00:00
L16719,1010420,29,2024-08-09 00:00:00,5,2024-10-17 00:00:00,5,11408,"Mat PO 17991, Changed to PO 18074
Spar 19 -100%, B-11, B-20, B-24. ST Issued 01/08",1Z9V89920394812672,2025-01-15 00:00:00
L16720,1010420,24,2024-08-09 00:00:00,10,2024-10-31 00:00:00,10,,"B-11 (12Y), B-20, B-24. 1/6/25 Changed mat from 17991 to 18074 because could not find.",1Z9V89920395807702,2025-02-05 00:00:00
L15326,1007298,58,2022-06-23 00:00:00,5,2022-09-07 00:00:00,5,11096,FAIR 5 pcs,1Z9V89920192985903,2022-10-31 00:00:00
L15326-Reinspect,1007298,5,2023-01-16 00:00:00,0,2023-01-17 00:00:00,5,,Verify information and send back,771040036761,2023-01-16 00:00:00
L15327,1007298,39,2022-06-23 00:00:00,40,2022-09-25 00:00:00,5,11132,FAIR 5 pcs,1Z9V89920190151870,2023-01-09 00:00:00
L15327-1,1007298,34,2022-06-23 00:00:00,0,2022-09-25 00:00:00,18,,FROM L15326,1Z9V89920194783976,2023-01-26 00:00:00
L15327-2,1007298,16,2022-06-23 00:00:00,0,2023-02-03 00:00:00,10,,AMP,771179503446 ,2023-01-31 00:00:00
L15327-3,1007298,30,2022-06-23 00:00:00,0,2023-02-28 00:00:00,7,,Split from L15394,1Z9V89920390782551,2023-02-20 00:00:00
L15327-4,1007469,41,2022-06-23 00:00:00,0,2023-05-31 00:00:00,41,,Should create new lot for PO 1007469 not 1007298. Mixed of part that need reworked from previous lot and new lot.,1Z9V89920397067320,2023-05-24 00:00:00
L15393,1007469,23,2022-08-04 00:00:00,100,2022-10-19 00:00:00,23,,From L15327-3   23 Pcs. Revise due date 10/19 to 2/24,1Z9V89920391631346,2023-02-20 00:00:00
L15394,1007469,119,2022-08-04 00:00:00,75,2023-03-30 00:00:00,42,,Traveller on floor. Revise due date from 1/11/23 to3/31/23 to 4/28/23,1Z9V89920295403006,2023-04-18 00:00:00
L15776,1007469,122,2022-08-04 00:00:00,0,2023-04-30 00:00:00,53,,Bal. 110 as of 5/8 and ST issued.,1Z9V89920796997570,2023-07-13 00:00:00
L15997,1007469,69,2022-08-04 00:00:00,67,2023-08-15 00:00:00,16,,ST Issued 7/6. Cont. 62+5 from L15776 and 2 from L15326. Revised date to 9/13,1Z9V89920396440909,2023-09-07 00:00:00
L16263,1009156,,2023-11-13 00:00:00,5,2024-09-17 00:00:00,5,11376,"use mat PO 17603, 4"" dia",778593121123,2024-09-14 00:00:00
L16263,1009156,,2023-11-13 00:00:00,0,2024-09-17 00:00:00,4,11376,for L16233-R1,779004721017,2024-10-03 00:00:00
L16263-1,1009156,,2024-01-03 00:00:00,8,2024-09-30 00:00:00,1,11390,"B-13, 100% 1 sets",,2024-10-30 00:00:00
L16263-2,1009156,,2024-01-03 00:00:00,8,2024-09-30 00:00:00,1,L16263-2,"B-13, 100% 8 sets. Mat changed.",,2024-10-30 00:00:00
L16263-3,1009156,,2024-01-03 00:00:00,0,2024-09-30 00:00:00,7,,,,2024-11-09 00:00:00
L17330,1011585,,2025-08-04 00:00:00,38,2025-10-01 00:00:00,,,Need to take photo ,,
L16264,1009156,,2023-11-13 00:00:00,5,2024-09-17 00:00:00,5,11377,"use mat PO 17603, 4"" dia",778593121123,2024-09-14 00:00:00
L16264,1009156,,2023-11-13 00:00:00,0,2024-09-17 00:00:00,4,11377,for L16233-R1,779004721017,2024-10-03 00:00:00
L16264-1,1009156,,2024-01-03 00:00:00,0,2024-09-30 00:00:00,1,11391,"B-13, 100% 1 sets",,2024-10-30 00:00:00
L16264-2,1009156,,2024-01-03 00:00:00,8,2024-09-30 00:00:00,1,L16264-2,"B-13, 100% 8 sets. Mat changed.",,2024-10-30 00:00:00
L16264-3,1009156,,2024-01-03 00:00:00,0,2024-09-30 00:00:00,7,,,,2024-11-09 00:00:00
L16264-4,,,,,,,8,WIP wait for milling,,
L17331,1011585,,2025-08-04 00:00:00,38,2025-10-01 00:00:00,,,"Need to take photo 
Print Drawing to Bell and wait KEK write ST 10/07/25
Changed Rev:- to Rev:A
Need new BB",,
L14945,1006470,108,2021-12-08 00:00:00,50,2022-02-09 00:00:00,50,,11/27/25 Have 20 pcs need gritblast,,2022-03-08 00:00:00
L16973,1011032,24,2025-01-25 00:00:00,30,2025-05-22 00:00:00,24,,"from L14945. NO. 1, 2, 3",1Z9V89920393925276,2025-05-01 00:00:00
L17172,1011032,9,2025-01-25 00:00:00,0,2025-05-22 00:00:00,6,,"from L14324. NO. 1, 2, 3",1Z9V89920393925276,2025-05-01 00:00:00
L17441,1011519,10,2025-10-07 00:00:00,2,2025-10-31 00:00:00,2,Long form only,"ST Issued 10-22-25 ,
Mat from Fry steel PO#19052 ,              size 5/8  Cut to 3.5 + 0.03/0
",1Z9V89920290757545,2025-10-28 00:00:00
L17347,1011680,,2025-08-23 00:00:00,3,2025-10-20 00:00:00,3,AS,"3 pcs, 100%
ST Issued 10/01/25 , Maat from Fry steel PO#19052 size 1/2''
UPS 2ND DAY TOPNOTCH PAID
go to passivate at TECHMETALS 11/3/25
","UPS 2ND DAY TOPNOTCH PAID
go to passivate at TECHMETALS 11/3/25",1Z9V89920291438370
L17348,1011680,,2025-08-23 00:00:00,7,2025-11-08 00:00:00,,,,,
L14927,1006431,15,2021-11-17 00:00:00,6,2022-02-02 00:00:00,6,,,,2022-02-07 00:00:00
L17472,1011972,,2025-10-28 00:00:00,30,2025-11-30 00:00:00,,,long form only,,
L14534,1005664,20,2021-06-30 00:00:00,15,2021-07-09 00:00:00,15,,,-,2021-07-09 00:00:00
L16851,1010858,28,2024-11-16 00:00:00,15,2025-01-31 00:00:00,10,,"Use Mat PO 16001
HT PO 16047. ST Issued 1/9",1Z9V89920398538659,2025-01-30 00:00:00
L16854,1010858,5,2024-11-19 00:00:00,0,2024-11-30 00:00:00,5,,"from L14534, then passivate",1Z9V89920396100768,2024-11-20 00:00:00
L14075,1004625,20,2020-08-06 00:00:00,10,2020-10-08 00:00:00,10,,,,2020-09-30 00:00:00
L16086,1008586,41,2023-08-18 00:00:00,8,2023-09-28 00:00:00,4,,"B-13, 19, B-20. 100% every pieces. Revised 8 to  4 and 4",1Z9V89920792401773,2023-10-31 00:00:00
L16150,1008586,7,2023-09-21 00:00:00,4,2023-09-28 00:00:00,4,,"from L14075, B-13, 19, B-20",1Z9V89920392067900,2023-09-26 00:00:00
L16197,1011317,2,2025-04-15 00:00:00,2,2025-04-18 00:00:00,2,,"residual inventory from L16086, 18 pcs, 11 good, 7 need reinspect/fix. 
Changed from Rev:A toB                         ST Issue 04-18-25      ",880581206353,2025-04-15 00:00:00
L15018,1006733,12,2022-02-02 00:00:00,5,2022-03-31 00:00:00,5,11032,Revise 3/31 to 5/11,776798049025,2022-05-06 00:00:00
L15019,1006733,6,2022-02-02 00:00:00,5,2022-04-13 00:00:00,5,,from L15018,,2022-07-13 00:00:00
L16275,1009273,28,2023-11-20 00:00:00,3,2024-01-29 00:00:00,3,11339,"But need 3 pcs 100%. Ask Keith again about qty. B-20, ST ISSUED 03/04. Mat go to HT 28 pcs. 4/10 Changed qty 1 to 3 pcs.",1Z9V89921299391235,2024-05-29 00:00:00
L16276,1009273,12,2023-11-20 00:00:00,12,2024-02-03 00:00:00,12,,long form. B-20. 4/10 Changed qty 14 to 12.,1Z9V89920395070445,2024-07-02 00:00:00
L15355,1007346,16,2022-07-19 00:00:00,10,2022-09-28 00:00:00,10,,SHIP NEXT DAY,,2022-11-18 00:00:00
L14656,1005835,26,2021-06-18 00:00:00,20,2021-08-13 00:00:00,20,,,,2021-08-16 00:00:00
L14813,1005835,6,2021-09-21 00:00:00,20,2021-08-13 00:00:00,1,,,,2021-09-30 00:00:00
L15990,1008600,5,2023-06-15 00:00:00,1,2023-06-22 00:00:00,1,,FROM L14656 Need to be at BEI on 6/22,1Z9V89921295986243,2023-06-19 00:00:00
L16099,1008836,13,2023-08-22 00:00:00,15,2023-11-21 00:00:00,11,,ST Issued 9/25. Used mat PO 17707. Revised 12 to 15 pcs.,1Z9V89920393012501,2023-12-12 00:00:00
L16195,1008836,5,2023-08-22 00:00:00,0,2023-11-21 00:00:00,3,,from L14656   ,1Z9V89920399740179,2023-10-31 00:00:00
L16336,1009439,42,2024-01-02 00:00:00,15,2024-03-18 00:00:00,14,,"Used Mat PO 17670, 9.25"" + 12.625"" . Long form only. ST Issue 3/5. Mat to Burbank 42 pcs.",1Z9V89921299391235,2024-05-29 00:00:00
L16462,1009771,11,2024-03-20 00:00:00,10,2024-06-19 00:00:00,10,,From L16336,1Z9V89920396452478,1934-06-03 00:00:00
L16552,1009439,1,2024-01-02 00:00:00,0,2024-05-13 00:00:00,1,,from L16099,2nd day with 2975-576P1,2024-05-09 00:00:00
L16553,1008836,1,2023-08-22 00:00:00,0,2024-05-27 00:00:00,1,,From L16336,1Z9V89920396452478,2024-06-03 00:00:00
L16184,1009052,30,2023-10-12 00:00:00,20,2023-10-30 00:00:00,20,11256,10% 100 % insp + long form,1Z9V89921599733075,2023-10-17 00:00:00
L15474,1007589,5,2022-09-14 00:00:00,5,2022-11-02 00:00:00,5,11103,"L15472& L15473 to make L15474
Mat PO 13152",770399270387,2022-11-03 00:00:00
L17096,1011267,,2025-03-19 00:00:00,10,2025-07-25 00:00:00,10,,"Mat PO 17029, 100% data 10 pcs.",884350939068,2025-09-13 00:00:00
L16185,1009040,23,2023-10-16 00:00:00,10,2023-11-30 00:00:00,10,,100% 1 pc + long form. Mat PO 17768,,2023-11-30 00:00:00
L16533,1009759,,2024-05-02 00:00:00,10,2024-06-13 00:00:00,5,,"mat PO 16855 5 pcs, from L16185. Long form only",1Z9V89920390719165,2024-05-30 00:00:00
L16534,1009759,,2024-05-02 00:00:00,0,2024-06-13 00:00:00,5,,"mat PO 17733, 6 pcs, from L16185. Long form only.",1Z9V89920390719165,2024-05-30 00:00:00
L15471,1007589,5,2022-09-14 00:00:00,5,2022-11-02 00:00:00,5,11115,,770543338173,2022-11-19 00:00:00
L17093,1011267,,2025-03-19 00:00:00,10,2025-07-25 00:00:00,10,,"Mat PO 17029, 100% data 10 pcs.",884350939068,2025-09-13 00:00:00
L17455,1011942,,2025-10-20 00:00:00,10,2025-11-26 00:00:00,,5,"Mat PO 17029, 100% data 7 pcs before installing the pin",Overnight,
L17455-1,1011942,,2025-10-20 00:00:00,0,2025-11-26 00:00:00,,5,,Overnight,
L14575,N1003104,6,2021-07-01 00:00:00,4,2021-07-08 00:00:00,4,-,"No need traveller. On the package Attn: Rex Bair. Mat PO 13152, 2016. Rev:1",-,2021-07-08 00:00:00
L15865,1008357,,2023-03-23 00:00:00,10,2023-06-21 00:00:00,0,,"Change Rev:1 to Rev:-, no dimension has been changed. Need 1 pc with 100% inspection",Customer cancelled order.,2023-07-11 00:00:00
L17397,1011796,,2025-09-09 00:00:00,1,2025-11-12 00:00:00,,,,,
L14576,N1003104,5,2021-07-01 00:00:00,3,2021-07-08 00:00:00,3,-,"No need traveller. On the package Attn: Rex Bair. Mat PO 13152, 2016. Rev:1",-,2021-07-08 00:00:00
