Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L15241,1005817,19,2022-05-20 00:00:00,1,2022-05-25 00:00:00,1,,"from L14643, replaced per rej. 36727",777005174614,2022-05-31 00:00:00
L15314,1006881,13,2022-03-07 00:00:00,13,2022-06-20 00:00:00,12,,from L14642,777155667110,2022-06-16 00:00:00
L15315,1006881,19,2022-03-07 00:00:00,17,2022-06-20 00:00:00,17,,from L14643,777155667110,2022-06-16 00:00:00
L15319,1007275,174,2022-06-21 00:00:00,69,2022-09-07 00:00:00,69,,,1Z9V89920397459782,2022-10-31 00:00:00
L15319-R1,1007275,80,2023-04-10 00:00:00,1,2023-05-01 00:00:00,1,,replaced per reject 36819,1Z9V89920395752468,2023-04-25 00:00:00
L15427,1007275,31,2022-06-21 00:00:00,31,2022-09-07 00:00:00,31,,from L15104,1Z9V89920396306331,2022-08-30 00:00:00
L15483,1007595,87,2022-09-16 00:00:00,75,2023-01-04 00:00:00,75,,use from L15319 + sent out to passivate,1Z9V89920399693042,2022-12-28 00:00:00
L15603,1007595,338,2022-11-10 00:00:00,235,2023-03-22 00:00:00,235,,,1Z9V89920395752468,2023-04-25 00:00:00
L16098,1008834,126,2023-08-22 00:00:00,110,2023-11-20 00:00:00,19,,ST Issued 9/25. Have 71 WIP. Grinding done,1Z9V89920396158591,2024-02-06 00:00:00
L16146,1008949,26,2023-09-21 00:00:00,0,2023-02-15 00:00:00,25,,from L16098. ,1Z9V89920396158591,2024-02-06 00:00:00
L16378,1008834,12,2024-01-23 00:00:00,0,2024-02-02 00:00:00,12,,from L15483,1Z9V89920393590422,2024-01-26 00:00:00
L16379,1008834,80,2024-01-23 00:00:00,0,2024-02-02 00:00:00,79,,from L15603,1Z9V89920393590422,2024-01-26 00:00:00
L16519,1009959,71,2024-04-17 00:00:00,35,2024-07-02 00:00:00,35,,,1Z9V89920393515110,2024-05-22 00:00:00
L16624,1010290,168,2024-07-09 00:00:00,165,2024-09-20 00:00:00,130,,ST Issued 9/26,1Z9V89920393006803,2024-11-19 00:00:00
L16741,1010290,35,2024-07-09 00:00:00,0,2024-09-20 00:00:00,35,,from L16519,1Z9V89920393034256,2024-08-27 00:00:00
L13963,1004238,324,2020-04-24 00:00:00,255,2020-07-08 00:00:00,255,,,,2020-07-15 00:00:00
L14641,1005811,37,2021-06-15 00:00:00,25,2021-06-30 00:00:00,25,,from L13963,,2021-06-22 00:00:00
L14819,1006219,211,2021-11-29 00:00:00,150,2021-12-15 00:00:00,150,-,-,,2021-12-15 00:00:00
L15103,1006880,309,2022-03-07 00:00:00,250,2022-03-07 00:00:00,250,,,776974141529,2022-05-26 00:00:00
L15322,1007274,180,2022-08-24 00:00:00,91,2022-08-31 00:00:00,91,,,1Z9V89920393857706,2022-09-08 00:00:00
L15428,1007274,55,2022-08-24 00:00:00,55,2022-08-31 00:00:00,55,,from L14819,1Z9V89920390599278,2022-08-30 00:00:00
L15429,1007274,54,2022-08-24 00:00:00,54,2022-08-31 00:00:00,54,,from L15103,1Z9V89920398859526,2022-08-30 00:00:00
L15489,1007600 Line 3,180,2022-09-16 00:00:00,150,2023-01-04 00:00:00,105,,"mat 16822, 14 ft + 16572, 79""",1Z9V89920393751043,2023-01-04 00:00:00
L15622,1007600 Line 6,520,2022-11-16 00:00:00,485,2023-03-22 00:00:00,41,,from NDT 98 pcs,1Z9V89920394543132,2023-05-19 00:00:00
L15622-1,1007600 Line 3,447,2022-11-16 00:00:00,0,2023-05-30 00:00:00,22,,from NDT 98 pcs,1Z9V89920392680710,2023-05-18 00:00:00
L15622-2,1007600 Line 6,425,2022-11-16 00:00:00,0,2023-05-30 00:00:00,50,,from NDT 50 pcs.,772202810010,2023-05-19 00:00:00
L15622-3,1007600 Line 6,,2022-11-16 00:00:00,0,2023-05-30 00:00:00,,,"from NDT 98 pcs, fade chem film have 20 pcs","Label Ready, Pending",
L15622-4,1007600 Line 6,355,2022-11-16 00:00:00,0,2023-05-30 00:00:00,329,,,1Z9V89920399652710,2023-05-24 00:00:00
L15622-5,1007600,26,2022-11-16 00:00:00,0,2023-07-31 00:00:00,26,,from L15622-4,,2023-07-07 00:00:00
