No,Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date,Incoming Stock,Received QTY,Name Inspection,Remark (QA Inspection),Rework/Repair,*Remark (Rework),Qty Reject,*Remark (Reject),Incoming Rework,Finish goods in stock,Lot Number,PO Number,Qty Take Out,Date Take Out Stock,empty,WIP,WIP Cont w/Lot,QTY Rework,Green Tag N.,Rework w/Lot,QTY Prod,QTY Shipped,Residual,QTY Use,Balance,Scrap Later,From Lot,ST Status,Note,Date
1,L15885,9970,421,2023-04-04 00:00:00,400,2023-06-15 00:00:00,421,11216,Prime Plating,deliver,2023-07-26 00:00:00,0,421,Nevin,All good 421 pcs,0,-,0,-,,0,L15885,9970,,,,,,,,,421,421,0,,,,,Scanned,,2023-04-07 00:00:00
2,L17385,10778,,2025-09-05 00:00:00,200,2025-10-15 00:00:00,,,Mat PO 15303,,,0,,,,,,,,,0,L17385,10778,,,,,,,,,,,,,,,,,,
1,L15209,P120296,58,2022-04-27 00:00:00,50,2022-07-08 00:00:00,50,11076,,1Z9V89920395168135,2022-08-12 00:00:00,8,,,,,,1,NoGo went in,,7,L15209,P120296,,,,,,,,,,50,7,,,,,Scanned,,
